day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;EMERALDS;9992;15;9990;30;;;10008;15;10010;30;;;10000.0;0.0
-1;0;TOMATOES;4999;6;4998;19;;;5013;6;5014;19;;;5006.0;0.0
-1;100;EMERALDS;9992;13;9990;30;;;10008;13;10010;30;;;10000.0;0.0
-1;100;TOMATOES;5000;5;4998;23;;;5013;5;5014;23;;;5006.5;0.0
-1;200;EMERALDS;9992;13;9990;21;;;10008;13;10010;21;;;10000.0;0.0
-1;200;TOMATOES;5000;10;4999;20;;;5013;10;5015;20;;;5006.5;0.0
-1;300;EMERALDS;9992;11;9990;23;;;10008;11;10010;23;;;10000.0;0.0
-1;300;TOMATOES;5000;9;4999;24;;;5014;9;5015;24;;;5007.0;0.0
-1;400;EMERALDS;9992;13;9990;23;;;10008;13;10010;23;;;10000.0;0.0
-1;400;TOMATOES;5000;6;4999;25;;;5014;6;5015;25;;;5007.0;0.0
-1;500;EMERALDS;9992;12;9990;22;;;10008;12;10010;22;;;10000.0;0.0
-1;500;TOMATOES;5000;6;4999;25;;;5014;6;5015;25;;;5007.0;0.0
-1;600;EMERALDS;9992;12;9990;24;;;10008;12;10010;24;;;10000.0;0.0
-1;600;TOMATOES;5000;9;4999;17;;;5014;9;5015;17;;;5007.0;0.0
-1;700;EMERALDS;9992;10;9990;27;;;10008;10;10010;27;;;10000.0;0.0
-1;700;TOMATOES;5000;5;4999;24;;;5014;5;5015;24;;;5007.0;0.0
-1;800;EMERALDS;9992;11;9990;26;;;10008;11;10010;26;;;10000.0;0.0
-1;800;TOMATOES;5000;5;4998;25;;;5013;5;5014;25;;;5006.5;0.0
-1;900;EMERALDS;9992;11;9990;27;;;10008;11;10010;27;;;10000.0;0.0
-1;900;TOMATOES;5000;9;4998;15;;;5013;9;5015;15;;;5006.5;0.0
-1;1000;EMERALDS;9992;12;9990;26;;;10008;12;10010;26;;;10000.0;0.0
